Symbol	RAPdb	MSU
MMSDH	Os07g0188800	LOC_Os07g09060
MOC1	Os06g0610300|Os06g0610350	LOC_Os06g40780
MOC2|FBP1	Os01g0866400	LOC_Os01g64660
MOC3|OsWUS|TAB1|OsTAB1	Os04g0663600	LOC_Os04g56780
MODD	Os03g0214200	LOC_Os03g11550
MOF	Os04g0464966	LOC_Os04g39080
MPR25	Os04g0602600	LOC_Os04g51350
MRG701	Os04g0101300	LOC_Os04g01130
MRG702	Os11g0545600	LOC_Os11g34300
MT2A	Os01g0149800	LOC_Os01g05650
MTP8.2	Os02g0775100	LOC_Os02g53490
Mtr1	Os07g0694600	LOC_Os07g49390
MYB1	Os01g0128000	LOC_Os01g03720
MYB61	Os01g0285300	LOC_Os01g18240
MYBS3|OsMYBS3	Os10g0561400	LOC_Os10g41200
